Nombre del hospital,Arriba del promedio nacional,Cantidad de hospitales con esa enfermedad,Promedio 
Alabama,4,91,4.395604395604396
Alaska,0,0,0
Arizona,14,78,17.94871794871795
Arkansas,8,75,10.666666666666668
California,55,341,16.129032258064516
Colorado,2,80,2.5
Connecticut,10,31,32.25806451612903
Delaware,1,7,14.285714285714285
District of Columbia,1,8,12.5
Florida,69,184,37.5
Georgia,2,132,1.5151515151515151
Hawaii,0,0,0
Idaho,1,42,2.380952380952381
Illinois,27,180,15.0
Indiana,17,120,14.166666666666666
Iowa,5,116,4.310344827586207
Kansas,12,136,8.823529411764707
Kentucky,4,91,4.395604395604396
Louisiana,8,119,6.722689075630252
Maine,0,0,0
Maryland,2,49,4.081632653061225
Massachusetts,13,63,20.634920634920633
Michigan,14,131,10.687022900763358
Minnesota,3,130,2.307692307692308
Mississippi,7,95,7.368421052631578
Missouri,6,112,5.357142857142857
Montana,0,0,0
Nebraska,4,89,4.49438202247191
Nevada,11,35,31.428571428571427
New Hampshire,3,26,11.538461538461538
New Jersey,50,66,75.75757575757575
New Mexico,0,0,0
New York,36,170,21.176470588235293
North Carolina,0,0,0
North Dakota,1,44,2.272727272727273
Ohio,19,170,11.176470588235295
Oklahoma,2,123,1.6260162601626018
Oregon,0,0,0
Pennsylvania,26,171,15.204678362573098
Rhode Island,1,11,9.090909090909092
South Carolina,6,60,10.0
South Dakota,2,58,3.4482758620689653
Tennessee,5,108,4.62962962962963
Texas,74,409,18.09290953545232
Utah,2,46,4.3478260869565215
Vermont,0,0,0
Virginia,5,85,5.88235294117647
Washington,4,90,4.444444444444445
West Virginia,1,49,2.0408163265306123
Wisconsin,1,126,0.7936507936507936
Wyoming,0,0,0
