Nombre del hospital,Arriba del promedio nacional,Cantidad de hospitales con esa enfermedad,Promedio 
Alabama,7,91,7.6923076923076925
Alaska,0,0,0
Arizona,17,78,21.794871794871796
Arkansas,9,75,12.0
California,102,341,29.91202346041056
Colorado,2,80,2.5
Connecticut,11,31,35.483870967741936
Delaware,3,7,42.857142857142854
District of Columbia,3,8,37.5
Florida,58,184,31.521739130434785
Georgia,13,132,9.848484848484848
Hawaii,0,0,0
Idaho,1,42,2.380952380952381
Illinois,37,180,20.555555555555554
Indiana,21,120,17.5
Iowa,17,116,14.655172413793101
Kansas,30,136,22.058823529411764
Kentucky,11,91,12.087912087912088
Louisiana,19,119,15.966386554621847
Maine,1,33,3.0303030303030303
Maryland,6,49,12.244897959183673
Massachusetts,11,63,17.46031746031746
Michigan,18,131,13.740458015267176
Minnesota,0,0,0
Mississippi,18,95,18.947368421052634
Missouri,16,112,14.285714285714285
Montana,0,0,0
Nebraska,15,89,16.853932584269664
Nevada,15,35,42.857142857142854
New Hampshire,3,26,11.538461538461538
New Jersey,41,66,62.121212121212125
New Mexico,3,41,7.317073170731707
New York,34,170,20.0
North Carolina,7,105,6.666666666666667
North Dakota,2,44,4.545454545454546
Ohio,39,170,22.941176470588236
Oklahoma,15,123,12.195121951219512
Oregon,0,0,0
Pennsylvania,46,171,26.900584795321635
Rhode Island,1,11,9.090909090909092
South Carolina,5,60,8.333333333333332
South Dakota,4,58,6.896551724137931
Tennessee,12,108,11.11111111111111
Texas,116,409,28.361858190709043
Utah,3,46,6.521739130434782
Vermont,1,14,7.142857142857142
Virginia,5,85,5.88235294117647
Washington,5,90,5.555555555555555
West Virginia,2,49,4.081632653061225
Wisconsin,4,126,3.1746031746031744
Wyoming,0,0,0
