Nombre del hospital, Telefono 
MARSHALL MEDICAL CENTER SOUTH,2565938310
DEKALB REGIONAL MEDICAL CENTER,2568453150
HALE COUNTY HOSPITAL,3346243024
CRESTWOOD MEDICAL CENTER,2568823100
CHOCTAW GENERAL HOSPITAL,2054599100
EVERGREEN MEDICAL CENTER,2515782480
MIZELL MEMORIAL HOSPITAL,3344933541
ST VINCENT'S BIRMINGHAM,2059397000
UNIVERSITY OF ALABAMA HOSPITAL,2059344011
CITIZENS BAPTIST MEDICAL CENTER,2567614542
LAWRENCE MEDICAL CENTER,2569742200
CITIZENS BAPTIST MEDICAL CENTER,2567614542
BULLOCK COUNTY HOSPITAL,3347382140
FAYETTE MEDICAL CENTER,2059325966
BAPTIST MEDICAL CENTER SOUTH,3342882100
EAST ALABAMA MEDICAL CENTER,3347493411
BULLOCK COUNTY HOSPITAL,3347382140
ST VINCENT'S EAST,2058383122
HIGHLANDS MEDICAL CENTER,2562594444
BAPTIST MEDICAL CENTER EAST,3342448330
NORTH BALDWIN INFIRMARY,2519375521
SOUTH BALDWIN REGIONAL MEDICAL CENTER,2519493400
BIBB MEDICAL CENTER,2059264881
NORTHWEST MEDICAL CENTER,2054877736
RUSSELL MEDICAL CENTER,2563297100
EVERGREEN MEDICAL CENTER,2515782480
MEDICAL CENTER BARBOUR,3346887271
BIBB MEDICAL CENTER,2059264881
LAWRENCE MEDICAL CENTER,2569742200
EAST ALABAMA MEDICAL CENTER,3347493411
RUSSELL MEDICAL CENTER,2563297100
CALLAHAN EYE HOSPITAL,2053258100
PICKENS COUNTY MEDICAL CENTER,2053678111
THOMAS HOSPITAL,2519282375
COOSA VALLEY MEDICAL CENTER,2562495000
BAPTIST MEDICAL CENTER SOUTH,3342882100
ELIZA COFFEE MEMORIAL HOSPITAL,2567688400
L V STABLER MEMORIAL HOSPITAL,3343822200
SHOALS HOSPITAL,2563861601
COOSA VALLEY MEDICAL CENTER,2562495000
SHOALS HOSPITAL,2563861601
JACK HUGHSTON MEMORIAL HOSPITAL,3347323000
MIZELL MEMORIAL HOSPITAL,3344933541
CHILDREN'S HOSPITAL OF ALABAMA,2059399100
CITIZENS BAPTIST MEDICAL CENTER,2567614542
RED BAY HOSPITAL,2563569532
RIVERVIEW REGIONAL MEDICAL CENTER,2565435200
THOMAS HOSPITAL,2519282375
ANDALUSIA HEALTH,3342228466
GRANDVIEW MEDICAL CENTER,2055921000
HELEN KELLER MEMORIAL HOSPITAL,2563864556
COMMUNITY HOSPITAL INC,3342836541
CALLAHAN EYE HOSPITAL,2053258100
UNIVERSITY OF ALABAMA HOSPITAL,2059344011
HIGHLANDS MEDICAL CENTER,2562594444
GADSDEN REGIONAL MEDICAL CENTER,2564944000
MONROE COUNTY HOSPITAL,2515753111
FLOWERS HOSPITAL,3347935000
TANNER MEDICAL CENTER-EAST ALABAMA,2563572111
ATHENS LIMESTONE HOSPITAL,2562339292
UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,2514717110
ATMORE COMMUNITY HOSPITAL,2513682500
ELMORE COMMUNITY HOSPITAL,3345674311
ST VINCENT'S BIRMINGHAM,2059397000
SOUTHEAST ALABAMA MEDICAL CENTER,3347938701
WIREGRASS MEDICAL CENTER,3346843655
HELEN KELLER MEMORIAL HOSPITAL,2563864556
MIZELL MEMORIAL HOSPITAL,3344933541
J PAUL JONES HOSPITAL,3346824131
TROY REGIONAL MEDICAL CENTER,3346705000
ANDALUSIA HEALTH,3342228466
WIREGRASS MEDICAL CENTER,3346843655
CLAY COUNTY HOSPITAL,2563542131
TANNER MEDICAL CENTER-EAST ALABAMA,2563572111
HUNTSVILLE HOSPITAL,2562651000
MEDICAL WEST- AN AFFILIATE OF UAB HEALTH SYSTEM,2054817000
FLOWERS HOSPITAL,3347935000
ELIZA COFFEE MEMORIAL HOSPITAL,2567688400
FLOYD CHEROKEE MEDICAL CENTER,2569275531
ST VINCENT'S ST CLAIR,2053383301
PRATTVILLE BAPTIST HOSPITAL,3343614267
WALKER BAPTIST MEDICAL CENTER,2053874000
WASHINGTON COUNTY HOSPITAL,2518472223
LAKE MARTIN COMMUNITY HOSPITAL,2568257821
ST VINCENT'S CHILTON,2054927008
JACKSON MEDICAL CENTER,2512469021
ST VINCENT'S EAST,2058383122
WALKER BAPTIST MEDICAL CENTER,2053874000
ANDALUSIA HEALTH,3342228466
CRENSHAW COMMUNITY HOSPITAL,3343353374
MIZELL MEMORIAL HOSPITAL,3344933541
PICKENS COUNTY MEDICAL CENTER,2053678111
CALLAHAN EYE HOSPITAL,2053258100
ST VINCENTS BLOUNT,2052743000
BAPTIST MEDICAL CENTER SOUTH,3342882100
UNIVERSITY OF S A CHILDREN'S AND WOMEN'S HOS,2514151000
ST VINCENT'S CHILTON,2054927008
PICKENS COUNTY MEDICAL CENTER,2053678111
MEDICAL CENTER ENTERPRISE,3343470584
HILL HOSPITAL OF SUMTER COUNTY,2053925263
ST VINCENT'S ST CLAIR,2053383301
WASHINGTON COUNTY HOSPITAL,2518472223
THOMAS HOSPITAL,2519282375
FAYETTE MEDICAL CENTER,2059325966
RUSSELL MEDICAL CENTER,2563297100
BRYAN W. WHITFIELD MEMORIAL HOSPITAL,3342894000
ELIZA COFFEE MEMORIAL HOSPITAL,2567688400
BAPTIST MEDICAL CENTER SOUTH,3342882100
UNIVERSITY OF S A CHILDREN'S AND WOMEN'S HOS,2514151000
L V STABLER MEMORIAL HOSPITAL,3343822200
CULLMAN REGIONAL MEDICAL CENTER,2567372000
D W MCMILLAN MEMORIAL HOSPITAL,2518678061
D C H REGIONAL MEDICAL CENTER,2057597111
SHOALS HOSPITAL,2563861601
TANNER MEDICAL CENTER-EAST ALABAMA,2563572111
HELEN KELLER MEMORIAL HOSPITAL,2563864556
WIREGRASS MEDICAL CENTER,3346843655
TANNER MEDICAL CENTER-EAST ALABAMA,2563572111
JACKSON HOSPITAL & CLINIC INC,3342938000
